Ann+AOk-e,Mois,Pression
,Ao+APs-t,741.3
,Septembre,744.3
,Octobre,746.8
,Novembre,738.8
,D+AOk-cembre,741.2
1986,Janvier,758.8
,F+AOk-vrier,761.7
,Mars,763
,Avril,759.7
,Mai,765.6
,Juin,765
,Juillet,766.1
,Ao+APs-t,763.8
,Septembre,768.2
,Octobre,766.4
,Novembre,768.3
,D+AOk-cembre,766.4
1987,Janvier,747.3
,F+AOk-vrier,743.3
,Mars,744.3
,Avril,745.7
,Mai,745
,Juin,745.2
,Juillet,745
,Ao+APs-t,745.1
,Septembre,746.5
,Octobre,743.7
,Novembre,744.9
,D+AOk-cembre,748.4
1988,Janvier,740.9
,F+AOk-vrier,742.9
,Mars,741.8
,Avril,744.6
,Mai,743
,Juin,745.5
,Juillet,745.6
,Ao+APs-t,745.3
,Septembre,748.2
,Octobre,746.7
,Novembre,751.8
,D+AOk-cembre,753.8
1989,Janvier,761
,F+AOk-vrier,749.4
,Mars,745.3
,Avril,741
,Mai,749.4
,Juin,747.7
,Juillet,750.2
,Ao+APs-t,746.8
,Septembre,748.9
,Octobre,750
,Novembre,749.5
,D+AOk-cembre,747.9
1990,Janvier,751.4
,F+AOk-vrier,745.8
,Mars,754.8
,Avril,747.8
,Mai,749
,Juin,745.1
,Juillet,749.9
,Ao+APs-t,750.3
,Septembre,748.4
,Octobre,745.3
,Novembre,745.6
,D+AOk-cembre,749.4
1991,Janvier,769.7
,F+AOk-vrier,765
,Mars,763
,Avril,764.7
,Mai,767.6
,Juin,763.6
,Juillet,765.5
,Ao+APs-t,767.7
,Septembre,765.3
,Octobre,765.3
,Novembre,763.1
,D+AOk-cembre,773.2
1992,Janvier,774.2
,F+AOk-vrier,771
,Mars,764.1
,Avril,762.6
,Mai,766.6
,Juin,763.8
,Juillet,765.9
,Ao+APs-t,764.1
,Septembre,767.1
,Octobre,759.8
,Novembre,764.8
,D+AOk-cembre,766.3
1993,Janvier,770.3
,F+AOk-vrier,773.3
,Mars,768.8
,Avril,761.3
,Mai,763.2
,Juin,765.3
,Juillet,765.7
,Ao+APs-t,767.2
,Septembre,761.9
,Octobre,763.1
,Novembre,767.3
,D+AOk-cembre,759.6
1994,Janvier,763.1
,F+AOk-vrier,763
,Mars,766.5
,Avril,761.4
,Mai,762.9
,Juin,767.2
,Juillet,766
,Ao+APs-t,764.7
,Septembre,763.5
,Octobre,764.7
,Novembre,767.6
,D+AOk-cembre,767.5
1995,Janvier,764.2
,F+AOk-vrier,762.9
,Mars,763.2
,Avril,765.1
,Mai,764.8
,Juin,765.9
,Juillet,765
,Ao+APs-t,766
,Septembre,762.6
,Octobre,769.1
,Novembre,766.1
,D+AOk-cembre,764.1
1996,Janvier,762.8
,F+AOk-vrier,761.8
,Mars,764.8
,Avril,765.3
,Mai,762.7
,Juin,768
,Juillet,766.4
,Ao+APs-t,764.6
,Septembre,764.9
,Octobre,766.1
,Novembre,760.8
,D+AOk-cembre,762.4
1997,Janvier,768.4
,F+AOk-vrier,767.8
,Mars,770.4
,Avril,767.5
,Mai,763.9
,Juin,760.8
,Juillet,766.4
,Ao+APs-t,765.4
,Septembre,769
,Octobre,765.9
,Novembre,759.1
,D+AOk-cembre,762.3
1998,Janvier,765.3
,F+AOk-vrier,771.6
,Mars,769.2
,Avril,756.3
,Mai,764.9
,Juin,765.1
,Juillet,763.9
,Ao+APs-t,766.6
,Septembre,761.6
,Octobre,763
,Novembre,766.1
,D+AOk-cembre,767.8
1999,Janvier,764.2
,F+AOk-vrier,764.9
,Mars,761.7
,Avril,763.1
,Mai,764.6
,Juin,766.4
,Juillet,765.5
,Ao+APs-t,763.4
,Septembre,762.3
,Octobre,765.3
,Novembre,768.3
,D+AOk-cembre,761.5
2000,Janvier,770.7
,F+AOk-vrier,768.3
,Mars,767.6
,Avril,758.7
,Mai,764.6
,Juin,768
,Juillet,763
,Ao+APs-t,766.6
,Septembre,764.1
,Octobre,763.2
,Novembre,757.5
,D+AOk-cembre,760.8
2001,Janvier,977.53
,F+AOk-vrier,981.62
,Mars,972.4
,Avril,978.34
,Mai,981.13
,Juin,981.87
,Juillet,980.37
,Ao+APs-t,981.46
,Septembre,979.15
,Octobre,981.88
,Novembre,985.07
,D+AOk-cembre,981.35
2002,Janvier,986.62
,F+AOk-vrier,978.78
,Mars,981.82
,Avril,979.86
,Mai,979.38
,Juin,980.2
,Juillet,980.41
,Ao+APs-t,980.3
,Septembre,982.94
,Octobre,978.51
,Novembre,975.31
,D+AOk-cembre,979.58
2003,Janvier,980.1
,F+AOk-vrier,968.96
,Mars,985.58
,Avril,979.44
,Mai,982.02
,Juin,980.87
,Juillet,981.19
,Ao+APs-t,960.43
,Septembre,954.59
,Octobre,970.12
,Novembre,980.49
,D+AOk-cembre,981.54
2004,Janvier,976.32
,F+AOk-vrier,982.11
,Mars,983.72
,Avril,977.13
,Mai,980
,Juin,982.05
,Juillet,981.49
,Ao+APs-t,948.53
,Septembre,983.67
,Octobre,977.35
,Novembre,984.14
,D+AOk-cembre,982.86
2005,Janvier,985.25
,F+AOk-vrier,981.76
,Mars,980.74
,Avril,978.56
,Mai,980.89
,Juin,982.6
,Juillet,980.18
,Ao+APs-t,982.26
,Septembre,982.68
,Octobre,982.23
,Novembre,981.08
,D+AOk-cembre,1017.91
2006,Janvier,1021.91
,F+AOk-vrier,1016.08
,Mars,1013.24
,Avril,1016.38
,Mai,1016.85
,Juin,1021.23
,Juillet,1020.25
,Ao+APs-t,1014.75
,Septembre,1016.45
,Octobre,1015.75
,Novembre,1017.27
,D+AOk-cembre,1023.73
2007,Janvier,1018.6
,F+AOk-vrier,1014.38
,Mars,1017.4
,Avril,1019.64
,Mai,1013.73
,Juin,1018.17
,Juillet,1016.69
,Ao+APs-t,1017.9
,Septembre,1020.77
,Octobre,1023.04
,Novembre,1020.43
,D+AOk-cembre,1022.35
2008,Janvier,1019.54
,F+AOk-vrier,1025.83
,Mars,1014.09
,Avril,1016.68
,Mai,1019.55
,Juin,1020.9
,Juillet,1020.56
,Ao+APs-t,1019.56
,Septembre,1021.76
,Octobre,1021.41
,Novembre,1019.14
,D+AOk-cembre,1021.54
2009,Janvier,1018.94
,F+AOk-vrier,1018.78
,Mars,1019.56
,Avril,1018.62
