ipcn
557.82
559.08
560.11
560.97
561.75
562.56
563.1
563.44
563.85
564.41
564.85
565.21
565.73
566.38
567.12
567.98
568.88
569.69
570.37
571.01
571.54
572.1
573.01
573.87
574.77
575.92
576.79
577.37
577.64
578.08
578.63
579.05
579.94
581.05
582.15
583.12
583.95
584.57
584.95
584.87
585.02
585.18
585.45
585.84
586.1
586.65
586.92
587.16
585.57
585.67
585.98
586.59
587.42
588.29
589.56
590.64
591.86
592.99
593.93
595.29
597.02
598.47
599.91
601.46
603.04
604.9
606.52
608.19
610.14
612.03
614.09
615.7
616.96
618.17
619.13
620.1
621.35
622.7
624.47
626.15
627.67
629.04
629.99
630.42
631.01
631.68
632.31
633.16
634.18
635.57
637.06
638.33
639.83
641.31
642.57
643.54
644.46
645.78
647.1
647.96
648.76
649.68
650.48
651.26
652.21
653.16
654.35
655.64
656.94
658.22
659.06
660.26
661.44
662.8
663.96
665
666.2
667.52
668.86
669.72
670.7
672.13
673.58
674.99
676.3
677.87
679.72
681.34
683.11
685.13
686.61
687.82
689.14
690.85
692.43
693.71
695.79
698.15
700.11
701.57
702.7
703.18
703.37
703.67
704.24
705.03
706.33
708.23
710.21
712.15
713.61
714.88
715.89
717.28
718.92
720.78
723.13
725.39
728.44
731.11
734.13
737.32
740.65
743.1
744.77
745.94
745.26
743.3
740.58
739.53
738.12
737.23
737.49
739.02
740.82
742.08
743.43
744.35
745.65
746.24
746.93
747.46
748.84
750.71
752.31
754.03
756.36
758.57
760.1
761.41
762.65
764.36
765.91
768.12
771.24
774.61
777.87
780.57
782.64
784.53
785.62
786.52
787.77
789.1
790.72
792.73
795.05
797.63
799.59
801.46
802.98
804.32
805.78
806.97
808.26
809.39
810.56
812.23
813.33
814.38
815.23
816.85
818.12
818.81
819.73
820.24
821.05
821.5
822.28
822.77
823
823.55
824.15
824.79
825.26
825.51
825.66
825.45
824.87
823.32
822.29
822.08
822.2
822.69
824.09
826.58
828.45
829.37
829.87
830.05
829.74
828.7
827.5
826.76
826.28
826.15
826.36
827.39
828.53
829.47
830.45
831.29
831.8
832.31
833.47
834.95
836.37
838.19
840.01
841.57
843.03
844.27
845.27
846.07
846.38
846.69
846.79
846.97
847.49
848.18
849.74
851.45
853.38
855.48
857.78
859.92
