DATE,NAEXKP01TRQ657S
1998-04-01,-0.0952490096464429
1998-07-01,0.495543899832527
1998-10-01,-2.59217495710617
1999-01-01,-2.53034968489356
1999-04-01,0.8279893129652
1999-07-01,0.381460503948104
1999-10-01,0.280582845142037
2000-01-01,0.955728255229296
2000-04-01,5.03575365300433
2000-07-01,2.33470852465926
2000-10-01,-0.281287848266952
2001-01-01,-4.49035968071851
2001-04-01,-5.15538635319145
2001-07-01,2.28980773336606
2001-10-01,-3.65065175960523
2002-01-01,5.62001475474162
2002-04-01,3.90379347119124
2002-07-01,1.35306470866318
2002-10-01,0.60312446563835
2003-01-01,1.44889159523052
2003-04-01,0.362452740549582
2003-07-01,2.89206005440324
2003-10-01,2.01812909204859
2004-01-01,4.00895148678564
2004-04-01,2.11516302450134
2004-07-01,0.352846626378801
2004-10-01,1.12380736800772
2005-01-01,5.49964614500023
2005-04-01,0.419310606347751
2005-07-01,1.02512877751683
2005-10-01,3.35864699285356
2006-01-01,2.06410115257286
2006-04-01,2.77380691659849
2006-07-01,-1.7300594777107
2006-10-01,2.98698557674094
2007-01-01,3.54021342786445
2007-04-01,-1.50031812923082
2007-07-01,-1.42310414305761
2007-10-01,5.08142653960034
2008-01-01,4.02745077040927
2008-04-01,-5.0557619646203
2008-07-01,-3.09239299244207
2008-10-01,-0.916155014856925
2009-01-01,-4.04945449540417
2009-04-01,1.96184539092351
2009-07-01,1.57010044214979
2009-10-01,2.14318380817616
2010-01-01,1.70651472141798
2010-04-01,2.58310177146375
2010-07-01,2.31443842975739
2010-10-01,3.55678765200572
2011-01-01,2.57749749101926
2011-04-01,2.18154828999111
2011-07-01,2.65132226667613
2011-10-01,1.0936896774169
2012-01-01,-0.388221874138324
2012-04-01,1.6830767271326
2012-07-01,1.58141989346105
2012-10-01,1.33481126896397
2013-01-01,3.62084736647232
2013-04-01,2.61787182124731
2013-07-01,1.34677763947341
2013-10-01,0.732302737037548
2014-01-01,2.66441997963723
2014-04-01,-1.54980617490445
2014-07-01,2.35683732365571
2014-10-01,1.49489256384648
2015-01-01,1.96801651688002
2015-04-01,1.4543275904509
2015-07-01,1.21733127858646
2015-10-01,0.890804230898197
2016-01-01,0.680600519622358
2016-04-01,1.39193797960483
2016-07-01,-2.57738686538826
2016-10-01,4.6010933573271
2017-01-01,1.79558152687823
2017-04-01,2.53027248192547
2017-07-01,1.29578633688472
2017-10-01,1.6265528034676
2018-01-01,1.54774147311224
