Open,High,Low,Close,Volume
2621.45,2670.93,2615.32,2663.42,1915007000
2669.36,2683.35,2664.7,2672.63,1911248000
2670.26,2676.34,2655.2,2671.92,2106586000
2678.12,2701.27,2674.14,2697.79,2083098000
2705.02,2726.11,2704.54,2723.07,1835354000
2722.7,2732.86,2717.45,2727.72,1796034000
2733.37,2742.1,2725.47,2730.13,1820433000
2718.59,2718.59,2701.91,2711.45,1964096000
2712.62,2727.76,2712.17,2722.46,1844280000
2719.71,2731.96,2711.36,2720.13,1863613000
2717.35,2719.5,2709.18,2712.97,1956929000
2725.95,2739.19,2725.7,2733.01,1789869000
2738.34,2742.24,2721.88,2724.44,1907819000
2713.98,2733.33,2709.54,2733.29,2030186000
2730.94,2731.97,2707.38,2727.76,1965052000
2723.6,2727.36,2714.99,2721.33,1683086000
2705.11,2710.67,2676.81,2689.86,2250972000
2702.43,2729.34,2702.43,2724.01,2032101000
2720.98,2722.5,2700.68,2705.27,2746987000
2718.7,2736.93,2718.7,2734.62,1995116000
2741.67,2749.16,2740.54,2746.87,1974155000
2748.46,2752.61,2739.51,2748.8,1982321000
2753.25,2772.39,2748.46,2772.35,2130321000
2774.84,2779.9,2760.16,2770.37,2139133000
2765.84,2779.39,2763.59,2779.03,1813372000
2780.18,2790.21,2780.17,2782,1917078000
2785.6,2789.8,2778.78,2786.85,1989894000
2787.94,2791.47,2774.65,2775.63,2422914000
2783.21,2789.06,2776.52,2782.49,2271012000
2777.78,2782.81,2761.73,2779.66,3501178000
2765.79,2774.99,2757.12,2773.75,2029883000
2752.01,2765.05,2743.19,2762.59,2214222000
2769.73,2774.86,2763.91,2767.32,2184212000
2769.28,2769.28,2744.39,2749.76,2149437000
2760.79,2764.17,2752.68,2754.88,2887234000
2742.94,2742.94,2698.67,2717.07,2404385000
2722.12,2732.91,2715.6,2723.06,2209004000
2728.45,2746.09,2699.38,2699.63,2277333000
2698.69,2724.34,2691.99,2716.31,2123740000
2727.13,2743.26,2718.03,2718.37,2247612000
2704.95,2727.26,2698.95,2726.71,1774975000
2733.27,2736.58,2711.16,2713.22,1148653000
2724.19,2737.83,2716.02,2736.61,1709736000
2737.68,2764.41,2733.52,2759.82,1570610000
2768.51,2784.65,2768.51,2784.17,1859165000
2788.56,2795.58,2786.24,2793.84,1743428000
2779.82,2785.91,2770.77,2774.02,1806015000
2783.14,2799.22,2781.53,2798.29,1862928000
2796.93,2804.53,2791.69,2801.31,1757998000
2801.43,2803.71,2793.39,2798.43,1791632000
2789.34,2814.19,2789.24,2809.55,1848700000
2811.35,2816.76,2805.89,2815.62,1946267000
2809.37,2812.05,2799.77,2804.49,2110255000
2804.55,2809.7,2800.01,2801.83,2082882000
2799.17,2808.61,2795.14,2806.98,1863978000
2820.68,2829.99,2811.12,2820.4,2183987000
2817.73,2848.03,2817.73,2846.07,2288128000
2835.49,2845.57,2835.26,2837.44,2578243000
2842.35,2843.17,2808.34,2818.82,2343659000
2819,2821.74,2798.11,2802.6,2240038000
2809.73,2824.46,2808.06,2816.29,2449761000
2821.17,2825.83,2805.85,2813.36,2200609000
2800.48,2829.91,2796.34,2827.22,2040387000
2829.62,2840.38,2827.37,2840.35,1829937000
2840.29,2853.29,2835.98,2850.4,1755403000
2855.92,2863.43,2855.92,2858.45,1792641000
2856.79,2862.44,2853.09,2857.7,1624655000
2857.19,2862.48,2851.98,2853.58,1670803000
2839.64,2842.2,2825.81,2833.28,1817775000
2835.46,2843.4,2819.88,2821.93,1852091000
2827.88,2843.11,2826.58,2839.96,1733261000
2827.95,2827.95,2802.49,2818.37,2170175000
2831.44,2850.49,2831.44,2840.69,1990092000
2838.32,2855.63,2833.73,2850.13,1897229000
2853.93,2859.76,2850.62,2857.05,1673590000
2861.51,2873.23,2861.32,2862.96,1897095000
2860.99,2867.54,2856.05,2861.82,1583705000
2860.29,2868.78,2854.03,2856.98,1653914000
2862.35,2876.16,2862.35,2874.69,1675498000
2884.69,2898.25,2884.69,2896.74,2055946000
2901.45,2903.77,2893.5,2897.52,1788302000
2900.62,2916.5,2898.4,2914.04,1761496000
2908.94,2912.46,2895.22,2901.13,1725980000
2898.37,2906.32,2891.73,2901.52,1806137000
2896.96,2900.18,2885.13,2896.72,1952726000
2891.59,2894.21,2876.92,2888.6,2277718000
2888.64,2892.05,2867.29,2878.05,2025173000
2868.26,2883.81,2864.12,2871.68,1942170000
2881.39,2886.93,2875.94,2877.13,1762586000
2871.57,2892.52,2866.78,2887.89,1880844000
2888.29,2894.65,2879.2,2888.92,2063573000
2896.85,2906.76,2896.39,2904.18,2167358000
2906.38,2908.3,2895.77,2904.98,1896516000
2903.83,2904.65,2886.16,2888.8,1855646000
2890.74,2911.17,2890.43,2904.31,1947735000
2906.6,2912.36,2903.82,2907.95,1942348000
2919.73,2934.8,2919.73,2930.75,2102348000
2936.76,2940.91,2927.11,2929.67,3900792000
2921.83,2923.79,2912.63,2919.37,2105481000
2921.75,2923.95,2913.7,2915.56,2034745000
2916.98,2931.15,2903.28,2905.97,2053175000
2911.65,2927.22,2909.27,2914,1803058000
2910.03,2920.53,2907.5,2913.98,2193940000
2926.29,2937.06,2917.91,2924.59,2148844000
2923.8,2931.42,2919.37,2923.43,2060043000
2931.69,2939.86,2921.36,2925.51,2101580000
2919.35,2919.78,2883.92,2901.61,2105861000
2902.54,2909.64,2869.29,2885.57,2091495000
2877.53,2889.45,2862.08,2884.43,2013127000
2882.51,2894.83,2874.27,2880.34,2136560000
2873.9,2874.02,2784.86,2785.68,2895006000
2776.87,2795.14,2710.51,2728.37,3309535000
2770.54,2775.77,2729.44,2767.13,2665303000
2763.83,2775.99,2749.03,2750.79,2023152000
2767.05,2813.46,2766.91,2809.92,2137275000
2811.67,2816.94,2781.81,2809.21,2120419000
2802,2806.04,2755.18,2768.78,2330696000
2775.66,2797.77,2760.27,2767.78,2467481000
2773.94,2778.94,2749.22,2755.88,2219051000
2721.03,2753.59,2691.43,2740.69,2810569000
2737.87,2742.59,2651.89,2656.1,3140536000
2674.88,2722.7,2667.84,2705.57,3062114000
2667.86,2692.38,2628.16,2658.69,3296392000
2682.65,2706.85,2603.54,2641.25,2965732000
2640.68,2685.43,2635.34,2682.63,3337205000
2705.6,2736.69,2705.6,2715.88,2577606000
