Commune,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Reisdorf,,,,,,,,,4108.598,,4410.228,6020.082,6254.064
Remich,3364.58,3249.046,3106.261,3422.985,3585.959,3548.208,3690.3,3766.704,4794.289,4318.936,5459.41,,
Roeser,3759.958,3888.894,3822.888,4105.127,4290.286,4378.42,4382.902,4472.968,,4893.151,,4238.411,4821.418
Rosport,,,,,,,,,3762.553,,4002.229,,
Rumelange,3061.89,3134.033,3295.224,2956.041,3224.222,3432.808,3475.385,3558.148,,4013.321,,6233.378,6697.787
Saeul,,,,,,,,,5122.117,,5920.732,4787.675,5190.53
Sandweiler,3932.424,4247.989,3974.017,4178.674,4613.913,4362.772,4837.229,4862.558,3815.747,5571.595,4651.014,4453.324,4913.149
Sanem,3401.093,3531.829,3358.017,3350.863,3457.655,3670.783,3695.969,4053.875,3947.562,4119.665,4597.21,,
Schengen,3160.529,3208.492,3106.413,3158.712,3359.153,3619.799,3640.58,3261.414,,3983.527,4788.753,5380.191,5884.693
Schieren,,,,,,,,,3907.643,,4693.706,5800.971,
Schifflange,3242.409,3013.811,3171.576,3390.239,3670.49,3408.858,3727.367,3789.138,4507.039,4313.224,,4877.59,4868.965
Schuttrange,3770.993,3699.16,3655.212,,3997.651,,4382.679,4734.676,,4875.571,4365.74,4880.639,5164.225
Septfontaines,,,,,,,,,,,4515.269,5939.89,6497.457
Stadtbredimus,3452.03,,3457.504,,,,,3578.761,4087.643,4290.899,4678.769,7367.333,8374.249
Steinfort,3514.572,,3551.988,3471.206,3724.306,3549.644,3956.172,3942.106,4834.069,4342.794,5745.579,,
Steinsel,3496.743,3647.308,3576.742,3793.651,,4270.386,4254.747,4564.085,5633.108,5279.141,6820.979,,
Strassen,4036.821,4067.595,3998.253,4498.962,4525.211,5059.878,5232.576,5576.987,,6417.054,,,
Tandel,,,,,,,,,,,,4146.455,
Troisvierges,,,,,,,,,,,4681.857,,
Tuntange,,,,,,,,,,,,,
Useldange,,,,,,,,,3894.133,,,,
Vallée de l'Ernz,,,,,2957.284,,,3401.706,,3523.471,,,
Vianden,,,,,,,,,,,,,
Vichten,,,,,,,,,,,,6362.115,6733.753
Wahl,,,,,,,,,,,,,6358.872
Waldbillig,,,,,,,,,,,,4265.552,4308.856
Waldbredimus,,,,,,,,,4980.404,,5707.024,3503.493,3943.857
Walferdange,3823.288,4107.003,3880.605,4066.93,4292.468,4571.507,4621.71,4725.791,4705.177,5248.831,,,
Weiler-la-Tour,,,,4556.459,,,,,,,3593.456,,
Weiswampach,,,,,,,,,2892.064,,3386.271,4120.396,5201.641
Wiltz,2749.759,2444.936,,2894.613,2982.909,2868.001,2821.589,3031.256,,3144.391,3311.776,0,0
Wincrange,,,,,,,,,,,,5576.048,6057.491
Winseler,,,,,,,,3263.385,,,,0,0
Wormeldange,,,,3049.652,3108.051,,,,0,3733.189,0,0,0
